brand,model,engine_size,fuel_type,year,mileage_km,price_usd,age,price_per_1k_km,mileage_bucket_label,mileage_bucket_order,age_bucket_label,age_bucket_order,overprice_threshold,is_overpriced
VW,Passat,1.4,Diesel,2010,64359,15563,15,241.81544150779226,50-100k,3,10y+,4,43699.5,False
Ford,Focus,2.0,Petrol,2002,180048,4086,23,22.693948280458542,>100k,4,10y+,4,40657.0,False
Ford,Mondeo,1.6,Hybrid,2005,142689,7247,20,50.788778392167586,>100k,4,10y+,4,43916.0,False
VW,Passat,1.6,Diesel,2018,22122,36634,7,1655.9985534761777,20-50k,2,6-10y,3,43699.5,False
BMW,M5,4.4,Petrol,1987,226046,2956,38,13.07698433062297,>100k,4,10y+,4,134836.0,False
Ford,Focus,1.4,Petrol,1987,236315,763,38,3.2287412986903075,>100k,4,10y+,4,40657.0,False
BMW,M5,4.4,Petrol,2008,109941,31711,17,288.4365250452515,>100k,4,10y+,4,134836.0,False
Ford,Fiesta,1.0,Petrol,2009,61615,7859,16,127.55010955124564,50-100k,3,10y+,4,24653.0,False
Ford,Focus,1.8,Diesel,1989,297635,585,36,1.9654946494867875,>100k,4,10y+,4,40657.0,False
Toyota,Prius,1.8,Hybrid,1995,112413,5238,30,46.59603426649943,>100k,4,10y+,4,49265.75,False
Ford,Fiesta,1.2,Petrol,2008,96911,6318,17,65.1938376448494,50-100k,3,10y+,4,24653.0,False
VW,Passat,1.6,Diesel,1990,223561,1229,35,5.497381027996833,>100k,4,10y+,4,43699.5,False
VW,Passat,1.4,Diesel,2020,21413,39310,5,1835.8006818287956,20-50k,2,3-5y,2,43699.5,False
BMW,Z4,2.2,Petrol,2018,32319,40706,7,1259.5067916705343,20-50k,2,6-10y,3,53698.375,False
Toyota,RAV4,2.4,Petrol,2021,6829,66031,4,9669.204861619564,<20k,1,3-5y,2,66286.875,False
VW,Polo,1.6,Petrol,2010,108111,7878,15,72.86955073951772,>100k,4,10y+,4,26969.875,False
Ford,Mondeo,1.6,Diesel,1998,137896,4132,27,29.964611011196848,>100k,4,10y+,4,43916.0,False
Ford,Focus,1.6,Petrol,2013,66163,18269,12,276.12109487175616,50-100k,3,10y+,4,40657.0,False
VW,Passat,1.6,Diesel,2010,66410,16414,15,247.16157205240177,50-100k,3,10y+,4,43699.5,False
BMW,Z4,2.2,Petrol,2014,61332,26084,11,425.29185417074285,50-100k,3,10y+,4,53698.375,False
Toyota,RAV4,2.4,Petrol,2016,34379,40646,9,1182.291515169144,20-50k,2,6-10y,3,66286.875,False
Porsche,911,3.5,Petrol,2003,107705,24378,22,226.34046701638735,>100k,4,10y+,4,123087.75,False
VW,Golf,1.8,Diesel,2014,28530,23034,11,807.3606729758149,20-50k,2,10y+,4,35342.375,False
VW,Passat,1.6,Diesel,2015,57933,24207,10,417.84475169592463,50-100k,3,6-10y,3,43699.5,False
BMW,Z4,2.4,Petrol,1997,146910,4671,28,31.79497651623443,>100k,4,10y+,4,53698.375,False
Toyota,Prius,1.4,Hybrid,2001,152067,5040,24,33.14328552545917,>100k,4,10y+,4,49265.75,False
BMW,M5,4.0,Petrol,2003,123913,19474,22,157.1586516346146,>100k,4,10y+,4,134836.0,False
Toyota,RAV4,1.8,Hybrid,2005,119097,11398,20,95.70350218729271,>100k,4,10y+,4,66286.875,False
VW,Golf,1.2,Diesel,2008,97150,8066,17,83.02624806999485,50-100k,3,10y+,4,35342.375,False
Ford,Focus,2.0,Petrol,2010,86405,14567,15,168.58978068398818,50-100k,3,10y+,4,40657.0,False
Toyota,Yaris,1.2,Hybrid,2001,85798,5959,24,69.45383342269051,50-100k,3,10y+,4,31920.5,False
VW,Golf,2.0,Diesel,2015,50628,22743,10,449.2178241289405,50-100k,3,6-10y,3,35342.375,False
BMW,Z4,3.0,Petrol,2014,80934,26708,11,329.9972817357353,50-100k,3,10y+,4,53698.375,False
VW,Polo,1.0,Petrol,1998,97043,3036,27,31.285100419401708,50-100k,3,10y+,4,26969.875,False
Toyota,Yaris,1.0,Petrol,2001,58770,5438,24,92.53020248426067,50-100k,3,10y+,4,31920.5,False
VW,Passat,1.8,Petrol,2008,84855,12800,17,150.8455600730658,50-100k,3,10y+,4,43699.5,False
VW,Passat,1.6,Diesel,2014,50898,23677,11,465.18527250579587,50-100k,3,10y+,4,43699.5,False
Ford,Focus,1.6,Diesel,1998,152532,3704,27,24.28342905095324,>100k,4,10y+,4,40657.0,False
Toyota,RAV4,1.8,Hybrid,2001,212899,3981,24,18.699007510603618,>100k,4,10y+,4,66286.875,False
VW,Golf,1.6,Petrol,2001,140596,3988,24,28.36496059631853,>100k,4,10y+,4,35342.375,False
Porsche,718 Cayman,2.4,Petrol,1988,256489,1183,37,4.6122835677163545,>100k,4,10y+,4,73239.75,False
BMW,X3,3.0,Petrol,2018,20441,53379,7,2611.3693067853824,20-50k,2,6-10y,3,59511.625,False
Toyota,Yaris,1.2,Petrol,1986,147185,1145,39,7.779325338859259,>100k,4,10y+,4,31920.5,False
BMW,M5,4.4,Petrol,1997,172030,9255,28,53.798756030924835,>100k,4,10y+,4,134836.0,False
Ford,Focus,1.8,Petrol,2005,149956,6094,20,40.6385873189469,>100k,4,10y+,4,40657.0,False
VW,Passat,1.6,Diesel,2009,134426,9345,16,69.51780161575886,>100k,4,10y+,4,43699.5,False
Toyota,RAV4,1.8,Hybrid,2010,91688,19491,15,212.5796178343949,50-100k,3,10y+,4,66286.875,False
Toyota,Prius,1.8,Hybrid,2005,41969,16500,20,393.1473230241368,20-50k,2,10y+,4,49265.75,False
VW,Passat,2.0,Petrol,2013,38210,25482,12,666.8934833813138,20-50k,2,10y+,4,43699.5,False
Toyota,Prius,1.0,Hybrid,2012,46972,19023,13,404.9859490760453,20-50k,2,10y+,4,49265.75,False
BMW,X3,2.0,Diesel,2018,27389,44018,7,1607.1415531782834,20-50k,2,6-10y,3,59511.625,False
VW,Polo,2.0,Petrol,1995,128234,2778,30,21.663521374986352,>100k,4,10y+,4,26969.875,False
VW,Passat,1.4,Diesel,2008,112309,9705,17,86.41337737848258,>100k,4,10y+,4,43699.5,False
VW,Polo,1.4,Petrol,1984,225099,489,41,2.1723774872389483,>100k,4,10y+,4,26969.875,False
Porsche,Cayenne,2.6,Diesel,2003,105361,15069,22,143.02256052998737,>100k,4,10y+,4,104718.5,False
Ford,Focus,1.4,Petrol,2005,97979,8039,20,82.04819400075526,50-100k,3,10y+,4,40657.0,False
Ford,Mondeo,1.6,Petrol,2016,40104,26053,9,649.6359465389986,20-50k,2,6-10y,3,43916.0,False
VW,Passat,2.0,Petrol,1993,158259,2822,32,17.831529328505805,>100k,4,10y+,4,43699.5,False
Porsche,718 Cayman,4.0,Petrol,2018,20634,70913,7,3436.706406901231,20-50k,2,6-10y,3,73239.75,False
BMW,Z4,2.0,Petrol,2010,98644,14728,15,149.3045699687766,50-100k,3,10y+,4,53698.375,False
Ford,Focus,2.0,Petrol,1991,176358,2025,34,11.482325723811792,>100k,4,10y+,4,40657.0,False
Ford,Mondeo,1.8,Diesel,1998,69223,7267,27,104.97955881715615,50-100k,3,10y+,4,43916.0,False
BMW,X3,3.0,Petrol,2008,20860,27342,17,1310.7382550335572,20-50k,2,10y+,4,59511.625,False
Toyota,RAV4,2.0,Petrol,2009,59936,19881,16,331.70381740523226,50-100k,3,10y+,4,66286.875,False
VW,Polo,1.4,Petrol,2012,58214,11916,13,204.6930291682413,50-100k,3,10y+,4,26969.875,False
Ford,Fiesta,1.4,Petrol,2020,33832,22982,5,679.2977063135493,20-50k,2,3-5y,2,24653.0,False
VW,Golf,1.2,Diesel,2009,104436,8174,16,78.26803018116358,>100k,4,10y+,4,35342.375,False
BMW,Z4,2.0,Petrol,1992,249377,1246,33,4.996451156281453,>100k,4,10y+,4,53698.375,False
Porsche,Cayenne,2.6,Petrol,2003,143603,10667,22,74.28117796981957,>100k,4,10y+,4,104718.5,False
Ford,Mondeo,1.8,Diesel,2007,115932,9481,18,81.78069903046614,>100k,4,10y+,4,43916.0,False
Ford,Fiesta,1.4,Petrol,2016,61363,14854,9,242.0676955168424,50-100k,3,6-10y,3,24653.0,False
VW,Polo,2.0,Petrol,2016,17810,23636,9,1327.1195957327345,<20k,1,6-10y,3,26969.875,False
Toyota,RAV4,1.8,Hybrid,2021,8120,68163,4,8394.458128078819,<20k,1,3-5y,2,66286.875,True
VW,Polo,2.0,Petrol,1990,142888,1771,35,12.394322826269525,>100k,4,10y+,4,26969.875,False
Toyota,Yaris,1.0,Petrol,2009,68094,8721,16,128.0729579698652,50-100k,3,10y+,4,31920.5,False
Ford,Mondeo,2.0,Diesel,2016,51724,28482,9,550.6534684092492,50-100k,3,6-10y,3,43916.0,False
VW,Polo,1.0,Petrol,1998,224106,1062,27,4.738828947016144,>100k,4,10y+,4,26969.875,False
Ford,Fiesta,1.0,Petrol,2009,83796,6768,16,80.76757840469712,50-100k,3,10y+,4,24653.0,False
Toyota,RAV4,2.2,Hybrid,2012,91325,24685,13,270.2983848891322,50-100k,3,10y+,4,66286.875,False
VW,Passat,2.0,Diesel,1997,173089,3416,28,19.735511788732964,>100k,4,10y+,4,43699.5,False
Ford,Focus,2.0,Diesel,2013,75451,20153,12,267.1005023127593,50-100k,3,10y+,4,40657.0,False
Toyota,Prius,1.0,Hybrid,2006,103766,8671,19,83.56301678777248,>100k,4,10y+,4,49265.75,False
Ford,Mondeo,1.6,Diesel,2014,82221,18224,11,221.6465379890782,50-100k,3,10y+,4,43916.0,False
VW,Passat,1.6,Diesel,1985,19000,4129,40,217.31578947368422,<20k,1,10y+,4,43699.5,False
Toyota,RAV4,2.4,Hybrid,2012,94338,25232,13,267.4638003773665,50-100k,3,10y+,4,66286.875,False
Porsche,Cayenne,2.6,Diesel,2019,20147,76182,6,3781.307390678513,20-50k,2,6-10y,3,104718.5,False
VW,Polo,1.2,Diesel,2018,37411,19649,7,525.2198551228248,20-50k,2,6-10y,3,26969.875,False
Toyota,Yaris,1.2,Petrol,2004,179016,2914,21,16.277874603387406,>100k,4,10y+,4,31920.5,False
Porsche,718 Cayman,2.0,Petrol,1999,206584,3542,26,17.14556790458119,>100k,4,10y+,4,73239.75,False
Toyota,Prius,1.0,Hybrid,1996,87664,5001,29,57.047362657419235,50-100k,3,10y+,4,49265.75,False
Ford,Mondeo,1.8,Diesel,2016,29439,30886,9,1049.152484799076,20-50k,2,6-10y,3,43916.0,False
Ford,Focus,1.0,Diesel,2006,120770,6429,19,53.23341889542105,>100k,4,10y+,4,40657.0,False
Ford,Mondeo,1.6,Diesel,1998,246137,1614,27,6.557323766845293,>100k,4,10y+,4,43916.0,False
Toyota,Prius,1.4,Hybrid,2012,72136,19139,13,265.3182876788289,50-100k,3,10y+,4,49265.75,False
Ford,Focus,2.0,Diesel,2001,147478,5272,24,35.747704742402256,>100k,4,10y+,4,40657.0,False
BMW,Z4,2.4,Petrol,1997,149908,4558,28,30.405315260026153,>100k,4,10y+,4,53698.375,False
BMW,M5,4.4,Petrol,1997,66783,20664,28,309.42006199182424,50-100k,3,10y+,4,134836.0,False
Ford,Mondeo,1.4,Diesel,2020,18929,37720,5,1992.7095990279468,<20k,1,3-5y,2,43916.0,False
VW,Golf,1.4,Diesel,2013,53405,16365,12,306.43198202415505,50-100k,3,10y+,4,35342.375,False
VW,Golf,1.4,Diesel,2001,136439,4049,24,29.676265583887307,>100k,4,10y+,4,35342.375,False
VW,Polo,1.2,Petrol,2001,110779,3670,24,33.12902264869695,>100k,4,10y+,4,26969.875,False
VW,Golf,2.0,Petrol,1991,188856,1528,34,8.090820519337484,>100k,4,10y+,4,35342.375,False
Toyota,Yaris,1.0,Hybrid,2013,12867,19025,12,1478.5886376000622,<20k,1,10y+,4,31920.5,False
Ford,Focus,2.0,Diesel,1994,162098,2930,31,18.075485200310922,>100k,4,10y+,4,40657.0,False
Ford,Mondeo,1.6,Diesel,2013,79521,17370,12,218.43286678990455,50-100k,3,10y+,4,43916.0,False
Ford,Mondeo,1.8,Diesel,2011,97523,14195,14,145.55540744234693,50-100k,3,10y+,4,43916.0,False
VW,Golf,1.6,Petrol,1994,104541,3304,31,31.604824901234924,>100k,4,10y+,4,35342.375,False
VW,Golf,1.6,Petrol,2016,57451,19835,9,345.2507354093053,50-100k,3,6-10y,3,35342.375,False
Toyota,Yaris,1.2,Petrol,2003,104794,4947,22,47.206901158463275,>100k,4,10y+,4,31920.5,False
Toyota,Yaris,1.0,Petrol,2002,227469,1517,23,6.669040616523571,>100k,4,10y+,4,31920.5,False
VW,Passat,1.8,Diesel,2006,81107,12073,19,148.85275007089402,50-100k,3,10y+,4,43699.5,False
Ford,Fiesta,1.2,Petrol,2008,79566,7142,17,89.76195862554357,50-100k,3,10y+,4,24653.0,False
Toyota,Yaris,1.4,Petrol,2007,85068,8043,18,94.5478910988856,50-100k,3,10y+,4,31920.5,False
Toyota,RAV4,2.0,Hybrid,2000,123838,8299,25,67.01497117201505,>100k,4,10y+,4,66286.875,False
Toyota,RAV4,2.2,Hybrid,2014,66511,33453,11,502.9694336275203,50-100k,3,10y+,4,66286.875,False
VW,Passat,1.6,Diesel,1999,207639,2584,26,12.444675614889302,>100k,4,10y+,4,43699.5,False
BMW,X3,3.0,Diesel,1990,150375,3510,35,23.341645885286784,>100k,4,10y+,4,59511.625,False
VW,Passat,1.4,Diesel,2013,70458,18256,12,259.1047148655937,50-100k,3,10y+,4,43699.5,False
Toyota,Prius,1.8,Hybrid,2016,44550,33820,9,759.1470258136925,20-50k,2,6-10y,3,49265.75,False
VW,Passat,1.6,Petrol,2012,53390,19428,13,363.88836860835363,50-100k,3,10y+,4,43699.5,False
Porsche,Cayenne,2.6,Diesel,2015,46563,50028,10,1074.4153082919916,20-50k,2,6-10y,3,104718.5,False
Ford,Fiesta,1.0,Petrol,2002,184586,1916,23,10.379985481022395,>100k,4,10y+,4,24653.0,False
Ford,Fiesta,1.2,Petrol,2004,160915,2933,21,18.227014262188113,>100k,4,10y+,4,24653.0,False
Toyota,Yaris,1.0,Hybrid,2022,5179,36086,3,6967.754392739911,<20k,1,3-5y,2,31920.5,True
Toyota,Yaris,1.4,Hybrid,2003,181179,3468,22,19.141291209246106,>100k,4,10y+,4,31920.5,False
VW,Polo,1.4,Petrol,2019,23181,23449,6,1011.5611923558085,20-50k,2,6-10y,3,26969.875,False
Toyota,Yaris,1.4,Hybrid,2016,66611,19942,9,299.37998228520814,50-100k,3,6-10y,3,31920.5,False
VW,Golf,1.8,Hybrid,1999,105901,5810,26,54.862560315766615,>100k,4,10y+,4,35342.375,False
Ford,Focus,1.4,Diesel,2014,24652,24721,11,1002.7989615447023,20-50k,2,10y+,4,40657.0,False
Toyota,Yaris,1.0,Petrol,1995,255196,737,30,2.8879763005689743,>100k,4,10y+,4,31920.5,False
VW,Polo,1.0,Petrol,2014,24579,14089,11,573.2129053256845,20-50k,2,10y+,4,26969.875,False
Toyota,RAV4,1.8,Petrol,2021,21354,52908,4,2477.66226468109,20-50k,2,3-5y,2,66286.875,False
VW,Golf,2.0,Petrol,1991,117615,2741,34,23.30485057178081,>100k,4,10y+,4,35342.375,False
Ford,Focus,2.0,Petrol,1999,135077,4855,26,35.94246244734485,>100k,4,10y+,4,40657.0,False
Toyota,RAV4,2.0,Hybrid,2006,94325,15441,19,163.69997349589187,50-100k,3,10y+,4,66286.875,False
Ford,Fiesta,1.4,Petrol,2010,96320,7831,15,81.30191029900332,50-100k,3,10y+,4,24653.0,False
VW,Golf,1.6,Petrol,1990,137231,1967,35,14.333496075959514,>100k,4,10y+,4,35342.375,False
Toyota,RAV4,2.2,Hybrid,2015,35448,43415,10,1224.7517490408486,20-50k,2,6-10y,3,66286.875,False
Toyota,RAV4,2.0,Hybrid,1995,142544,5129,30,35.98187226400269,>100k,4,10y+,4,66286.875,False
BMW,M5,4.0,Petrol,2012,46755,60859,13,1301.6575767297616,20-50k,2,10y+,4,134836.0,False
VW,Polo,1.6,Petrol,2001,97700,4668,24,47.77891504605937,50-100k,3,10y+,4,26969.875,False
BMW,M5,5.0,Petrol,2016,42059,91415,9,2173.4943769466704,20-50k,2,6-10y,3,134836.0,False
VW,Polo,1.6,Petrol,2012,48576,13537,13,278.6767127799736,20-50k,2,10y+,4,26969.875,False
VW,Polo,1.4,Petrol,2006,76691,7067,19,92.14901357395262,50-100k,3,10y+,4,26969.875,False
Toyota,RAV4,1.8,Hybrid,2017,15473,50215,8,3245.3305758417887,<20k,1,6-10y,3,66286.875,False
Ford,Focus,2.0,Petrol,2000,110549,6273,25,56.74406824123239,>100k,4,10y+,4,40657.0,False
Ford,Fiesta,1.0,Petrol,1992,183342,994,33,5.4215618898015725,>100k,4,10y+,4,24653.0,False
Ford,Focus,1.4,Petrol,2012,94259,13169,13,139.71079684698543,50-100k,3,10y+,4,40657.0,False
Ford,Mondeo,1.4,Diesel,2018,42017,28904,7,687.9120356046361,20-50k,2,6-10y,3,43916.0,False
